trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
775,True,"{'a': 0, 'e': 0}",30,0,39.02506729242226,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
776,True,"{'a': 0, 'e': 0}",20,0,15.374841723303494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
777,True,"{'a': 0, 'e': 0}",20,0,-46.13952137898429,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
778,True,"{'a': 0, 'e': 0}",25,0,-3.2659250218948346,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
779,True,"{'a': 0, 'e': 0}",25,0,-2.8565103092739017,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
780,True,"{'a': 0, 'e': 0}",30,0,-42.52270244375019,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
781,True,"{'a': 0, 'e': 0}",20,0,5.693716649450172,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
782,True,"{'a': 0, 'e': 0}",25,0,-68.3604502081259,"{0: 21, 1: 0, 2: 0, 3: 4, 4: 0}",0
783,True,"{'a': 0, 'e': 0}",25,0,-21.770973642434832,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
784,True,"{'a': 0, 'e': 0}",25,0,-12.976050457076921,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
785,True,"{'a': 0, 'e': 0}",25,0,-19.598335308756873,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
786,True,"{'a': 0, 'e': 0}",20,0,25.33596339244584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
787,True,"{'a': 0, 'e': 0}",30,0,-34.980111546341206,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
788,True,"{'a': 0, 'e': 0}",30,0,-0.830708485424972,"{0: 28, 1: 0, 2: 0, 3: 2, 4: 0}",0
789,True,"{'a': 0, 'e': 0}",20,0,-40.96467468388851,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
790,True,"{'a': 0, 'e': 0}",20,0,-0.9023544434250783,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
791,True,"{'a': 0, 'e': 0}",20,0,-18.263805430568862,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
792,True,"{'a': 0, 'e': 0}",20,0,25.94063290284444,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
793,True,"{'a': 0, 'e': 0}",25,0,11.205885218082138,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
794,True,"{'a': 0, 'e': 0}",25,0,-35.19096681598785,"{0: 22, 1: 0, 2: 0, 3: 3, 4: 0}",0
795,True,"{'a': 0, 'e': 0}",20,0,15.743590945505852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
796,True,"{'a': 0, 'e': 0}",20,0,17.144802383692895,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
797,True,"{'a': 0, 'e': 0}",20,0,0.5462333935941834,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
798,True,"{'a': 0, 'e': 0}",35,0,-24.76931666289329,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
799,True,"{'a': 0, 'e': 0}",20,0,-20.017084479681092,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
800,True,"{'a': 0, 'e': 0}",20,0,-85.51608715680806,"{0: 15, 1: 0, 2: 0, 3: 5, 4: 0}",0
801,True,"{'a': 0, 'e': 0}",20,0,-39.36971200605707,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
802,True,"{'a': 0, 'e': 0}",25,0,-16.885387384035432,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
803,True,"{'a': 0, 'e': 0}",20,0,0.0537402991262087,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
804,True,"{'a': 0, 'e': 0}",25,0,1.3492480564165727,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
805,True,"{'a': 0, 'e': 0}",20,0,0.6365818639035785,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
806,True,"{'a': 0, 'e': 0}",35,0,-20.492302619492563,"{0: 32, 1: 0, 2: 0, 3: 3, 4: 0}",0
807,True,"{'a': 0, 'e': 0}",30,0,-29.031673307444347,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
808,True,"{'a': 0, 'e': 0}",25,0,-26.27185812634356,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
809,True,"{'a': 0, 'e': 0}",20,0,-42.964325607850675,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
810,True,"{'a': 0, 'e': 0}",20,0,-28.28543182419628,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
811,True,"{'a': 0, 'e': 0}",20,0,1.7875945696803957,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
812,True,"{'a': 0, 'e': 0}",30,0,-37.376486643615095,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
813,True,"{'a': 0, 'e': 0}",25,0,-20.771107980230447,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
814,True,"{'a': 0, 'e': 0}",20,0,-15.667597988858645,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
815,True,"{'a': 0, 'e': 0}",20,0,-2.7139311182097017,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
816,True,"{'a': 0, 'e': 0}",20,0,-23.511351028031452,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
817,True,"{'a': 0, 'e': 0}",30,0,-30.321082251772744,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
818,True,"{'a': 0, 'e': 0}",30,0,-39.79799685229156,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
819,True,"{'a': 0, 'e': 0}",30,0,-26.0687183806595,"{0: 27, 1: 0, 2: 0, 3: 3, 4: 0}",0
820,True,"{'a': 0, 'e': 0}",20,0,-42.76357565024124,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
